id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1494807630002683907,1494807630002683907,2022-02-19 04:24:45 IST,2022-02-19,04:24:45,+0530,1227046804279054336,umar25635707,Umar Ahmed,,"If you had to choose, what scenario would you choose best for UP election result? #UPElections2022  #UPElection",en,[],[],[],0,0,0,"['upelections2022', 'upelection']",[],https://twitter.com/Umar25635707/status/1494807630002683907,False,,0,,,,,,,,[],,,,
1494798625695752192,1494798625695752192,2022-02-19 03:48:59 IST,2022-02-19,03:48:59,+0530,612745122,ashish148jain,Ashish Jain (Jay),,Prediction: No news channel covering #HijabRow after 10th March.  #UPElections2022,en,[],[],[],0,0,2,"['hijabrow', 'upelections2022']",[],https://twitter.com/ashish148jain/status/1494798625695752192,False,,0,,,,,,,,[],,,,
1494787010984235012,1494787010984235012,2022-02-19 03:02:49 IST,2022-02-19,03:02:49,+0530,1342652864221433857,reet_sihota,Reet,,Exercising your right to vote is not #Democracy … the saviours of democracy fight every day … they keep fighting from policy to policy … keeping their opposition &amp; ruling party on their toes. Vote wisely! #UPElections2022 #PunjabElections,en,[],[],[],0,2,7,"['democracy', 'upelections2022', 'punjabelections']",[],https://twitter.com/Reet_Sihota/status/1494787010984235012,False,,0,,,,,,,,[],,,,
1494784671598604288,1494784671598604288,2022-02-19 02:53:32 IST,2022-02-19,02:53:32,+0530,1228076505391079430,chahal_divyansh,Divyansh Chahal,,#UPElections2022    Phase 3 ✌️✌️✌️❤️ SP+RLD(gathbandhan)   65% to 70%,en,[],[],[],0,16,61,['upelections2022'],[],https://twitter.com/chahal_divyansh/status/1494784671598604288,False,,0,,,,,,,,[],,,,
1494771808339255298,1494771808339255298,2022-02-19 02:02:25 IST,2022-02-19,02:02:25,+0530,1668171912,profsrk,Prof SRK Modi 🇮🇳,,BJP wil surely get 333 plus Seats in UP Elections 2022... Har Har Mahadev 🙏  #UPElections2022 #UPMangeModiYogi #YogiWillBeBack #Yogidobara #Yogi,en,[],[],[],1,3,7,"['upelections2022', 'upmangemodiyogi', 'yogiwillbeback', 'yogidobara', 'yogi']",[],https://twitter.com/ProfSRK/status/1494771808339255298,False,https://twitter.com/Real_Deepika_/status/1494680420033568770,0,,,,,,,,[],,,,
1494770034077364227,1494691195204820998,2022-02-19 01:55:22 IST,2022-02-19,01:55:22,+0530,438714960,ujjvalkumar_,Ujjval Kumar,,"@partha2019LS You stop giving decisions on the basis of the last two elections, this election will give a decision like Bihar elections 2015.  This time in Uttar Pradesh, Mandal politics in favor of social justice is at its peak.  #UPElections2022",en,[],[],[],0,0,1,['upelections2022'],[],https://twitter.com/ujjvalkumar_/status/1494770034077364227,False,,0,,,,,,,,"[{'screen_name': 'partha2019LS', 'name': 'Partha Das', 'id': '2527868900'}]",,,,
1494769919040241666,1494382750446473224,2022-02-19 01:54:54 IST,2022-02-19,01:54:54,+0530,438714960,ujjvalkumar_,Ujjval Kumar,,"@partha2019LS You stop giving decisions on the basis of the last two elections, this election will give a decision like Bihar elections 2015.  This time in Uttar Pradesh, Mandal politics in favor of social justice is at its peak.  #UPElections2022",en,[],[],[],0,0,0,['upelections2022'],[],https://twitter.com/ujjvalkumar_/status/1494769919040241666,False,,0,,,,,,,,"[{'screen_name': 'partha2019LS', 'name': 'Partha Das', 'id': '2527868900'}]",,,,
1494767695660982278,1494767695660982278,2022-02-19 01:46:04 IST,2022-02-19,01:46:04,+0530,4468449674,braveenough21,PRAKHAR SHARMA,,"#MulayamSinghYadav #UPElections2022 #AkhileshYadav (The Women's Reservation Bill will only benefit rich and urban women. Our poor and rural women are not attractive... I will not say beyond this),"" he said at a gathering in Barabanki #2012",en,[],[],[],0,0,0,"['mulayamsinghyadav', 'upelections2022', 'akhileshyadav']",[],https://twitter.com/BraveEnough21/status/1494767695660982278,False,,0,,,,,,,,[],,,,
1494767141630980099,1494767141630980099,2022-02-19 01:43:52 IST,2022-02-19,01:43:52,+0530,1446538308323053580,pageblank,The Blank Page Official,,Just in: Multiple shots fired at #Ayodhya SP candidate from Gosaiganj seat Abhay Singh.   Looks like tough time is ahead for #BJP. #TheBlankPageOfficial  #UPElections2022  https://t.co/4pMmVRiFMV,en,[],[],['https://pbs.twimg.com/media/FL56yWCXoAMbWzy.jpg'],0,1,2,"['ayodhya', 'bjp', 'theblankpageofficial', 'upelections2022']",[],https://twitter.com/PageBlank/status/1494767141630980099,False,,1,https://pbs.twimg.com/media/FL56yWCXoAMbWzy.jpg,,,,,,,[],,,,
1494764311683629057,1494555971594506240,2022-02-19 01:32:37 IST,2022-02-19,01:32:37,+0530,922825646,subinthomas5,Subin Thomas,,"@Delhi_Sarcasm @zoo_bear The audacity of @anjanaomkashyap to clarify ""kathmullapan"" with that bigot...as if she heard it for the first time... #YogiAdityanath #Kathyogi #UPElections2022",en,"[{'screen_name': 'anjanaomkashyap', 'name': 'anjana om kashyap', 'id': '101215084'}]",[],[],0,0,0,"['yogiadityanath', 'kathyogi', 'upelections2022']",[],https://twitter.com/SubinThomas5/status/1494764311683629057,False,,0,,,,,,,,"[{'screen_name': 'Delhi_Sarcasm', 'name': 'Sarcastic_HumaN', 'id': '1421908522128744452'}, {'screen_name': 'zoo_bear', 'name': 'Mohammed Zubair', 'id': '935142655213703168'}]",,,,
