id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1494823196289286151,1494563965975728129,2022-02-19 05:26:37 IST,2022-02-19,05:26:37,+0530,1296385101895532547,norwarkiin,Evolved Hindu,,@priyankagandhi Do you or your retarded brother believe in Judiciary??You guys are the reason Congress is getting defeated everywhere...,en,[],[],[],0,0,0,[],[],https://twitter.com/norwarkiin/status/1494823196289286151,False,,0,,,,,,,,"[{'screen_name': 'priyankagandhi', 'name': 'Priyanka Gandhi Vadra', 'id': '1094645942735855618'}]",,,,
1494821687279431681,1494655784503885826,2022-02-19 05:20:37 IST,2022-02-19,05:20:37,+0530,836264444921511936,amankjhooti,Aman Jhutty 🅰️🅰️🅿️,,"@priyankagandhi These are their candidates, inko vote chahiye.  https://t.co/b2DJ9yidRB",en,[],[],['https://pbs.twimg.com/media/FL6sZndWYAEpGHH.jpg'],0,0,0,[],[],https://twitter.com/AmanKJhooti/status/1494821687279431681,False,,1,https://pbs.twimg.com/media/FL6sZndWYAEpGHH.jpg,,,,,,,"[{'screen_name': 'priyankagandhi', 'name': 'Priyanka Gandhi Vadra', 'id': '1094645942735855618'}]",,,,
1494818793213685761,1494644289993064451,2022-02-19 05:09:07 IST,2022-02-19,05:09:07,+0530,1182459462738558982,lionel_richo,lionel S,,@_AbhinavSharma @priyankagandhi Goood joke brother,en,[],[],[],0,0,0,[],[],https://twitter.com/Lionel_Richo/status/1494818793213685761,False,,0,,,,,,,,"[{'screen_name': '_AbhinavSharma', 'name': 'Abhinav R. Sharma', 'id': '959029616366120960'}, {'screen_name': 'priyankagandhi', 'name': 'Priyanka Gandhi Vadra', 'id': '1094645942735855618'}]",,,,
1494818310030082049,1494195831905595394,2022-02-19 05:07:12 IST,2022-02-19,05:07:12,+0530,1483814094700490756,mehmet78354269,Mehmet,,@rahul007sarkar @NikhilaHenry @TheQuint @AzmiShabana @priyankagandhi @sonamakapoor İndia must find an İmam saying Hijab or Burqa is NOT İslamic! Thats the only way!,en,[],[],[],0,0,0,[],[],https://twitter.com/Mehmet78354269/status/1494818310030082049,False,,0,,,,,,,,"[{'screen_name': 'rahul007sarkar', 'name': 'Rahul Sarkar🇮🇳', 'id': '79664850'}, {'screen_name': 'NikhilaHenry', 'name': 'Nikhila Henry', 'id': '81542362'}, {'screen_name': 'TheQuint', 'name': 'The Quint', 'id': '2982269822'}, {'screen_name': 'AzmiShabana', 'name': 'Azmi Shabana', 'id': '122928781'}, {'screen_name': 'priyankagandhi', 'name': 'Priyanka Gandhi Vadra', 'id': '1094645942735855618'}, {'screen_name': 'sonamakapoor', 'name': 'Sonam K Ahuja', 'id': '51376979'}]",,,,
1494817888296849408,1494627690808496133,2022-02-19 05:05:31 IST,2022-02-19,05:05:31,+0530,2991114737,zutshiavinash,Avinash Zutshi,,@ZeeNewsEnglish @priyankagandhi Very true.....,en,[],[],[],0,0,0,[],[],https://twitter.com/ZutshiAvinash/status/1494817888296849408,False,,0,,,,,,,,"[{'screen_name': 'ZeeNewsEnglish', 'name': 'Zee News English', 'id': '18071358'}, {'screen_name': 'priyankagandhi', 'name': 'Priyanka Gandhi Vadra', 'id': '1094645942735855618'}]",,,,
1494811414829182976,1493788551917748225,2022-02-19 04:39:48 IST,2022-02-19,04:39:48,+0530,214126333,dilchasp_batein,Mr. HIND,,@nareshbareth @INCIndia @RahulGandhi @priyankagandhi 100% it will 3 states,en,[],[],[],0,0,0,[],[],https://twitter.com/Dilchasp_Batein/status/1494811414829182976,False,,0,,,,,,,,"[{'screen_name': 'nareshbareth', 'name': 'Capt.Naresh Singh', 'id': '1002132649'}, {'screen_name': 'INCIndia', 'name': 'Congress', 'id': '1153045459'}, {'screen_name': 'RahulGandhi', 'name': 'Rahul Gandhi', 'id': '3171712086'}, {'screen_name': 'priyankagandhi', 'name': 'Priyanka Gandhi Vadra', 'id': '1094645942735855618'}]",,,,
1494805635208126464,1494686592396513285,2022-02-19 04:16:50 IST,2022-02-19,04:16:50,+0530,2431611061,irfanwarsi7,Irfan Warsi,,"@Tempted_4u @alibomaye20785 @Manha49440794 @Hatewatchkarnat @tv9kannada @FriedrichPieter @cjwerleman @KhaledBeydoun @LadyVelvet_HFQ @KhaledAlmaeena @RanaAyyub @VP @POTUS @JustinTrudeau @MJALSHRIKA @venu_gopal269 @Profilo_Indiano @ashoswai @priyankagandhi @RahulGandhi @srivatsayb @bainjal @sakshijoshii @rohini_sgh @AudreyTruschke @nadinemaenza Aree chomo she might be goddess to you not for non Hindus &amp; we are less concerned about her relationship with bramha, do practice your religion at your home &amp; stop imposing majoritarian faith on us",en,[],[],[],1,1,5,[],[],https://twitter.com/IrfanWarsi7/status/1494805635208126464,False,,0,,,,,,,,"[{'screen_name': 'Tempted_4u', 'name': 'Accountant', 'id': '1432335051920863241'}, {'screen_name': 'alibomaye20785', 'name': 'Sting lyk A Bee 🐝', 'id': '1250146327243169792'}, {'screen_name': 'Manha49440794', 'name': 'Manha', 'id': '1252219849696088066'}, {'screen_name': 'Hatewatchkarnat', 'name': 'Hate watch Karnataka', 'id': '1367356990125600770'}, {'screen_name': 'tv9kannada', 'name': 'TV9 Kannada', 'id': '145540592'}, {'screen_name': 'FriedrichPieter', 'name': 'Pieter Friedrich', 'id': '1047529714645004288'}, {'screen_name': 'cjwerleman', 'name': 'CJ Werleman', 'id': '33519870'}, {'screen_name': 'KhaledBeydoun', 'name': 'Khaled Beydoun', 'id': '2163076560'}, {'screen_name': 'LadyVelvet_HFQ', 'name': 'Hend F Q', 'id': '448259967'}, {'screen_name': 'KhaledAlmaeena', 'name': 'Khaled Almaeena', 'id': '386437541'}, {'screen_name': 'RanaAyyub', 'name': 'Rana Ayyub', 'id': '268676434'}, {'screen_name': 'VP', 'name': 'Vice President Kamala Harris', 'id': '803694179079458816'}, {'screen_name': 'POTUS', 'name': 'President Biden', 'id': '1349149096909668363'}, {'screen_name': 'JustinTrudeau', 'name': 'Justin Trudeau', 'id': '14260960'}, {'screen_name': 'MJALSHRIKA', 'name': 'المحامي⚖مجبل الشريكة', 'id': '3219551184'}, {'screen_name': 'venu_gopal269', 'name': 'Venu', 'id': '2718982327'}, {'screen_name': 'Profilo_Indiano', 'name': 'I_Speaks', 'id': '4138525213'}, {'screen_name': 'ashoswai', 'name': 'Ashok Swain', 'id': '70355674'}, {'screen_name': 'priyankagandhi', 'name': 'Priyanka Gandhi Vadra', 'id': '1094645942735855618'}, {'screen_name': 'RahulGandhi', 'name': 'Rahul Gandhi', 'id': '3171712086'}, {'screen_name': 'srivatsayb', 'name': 'Srivatsa', 'id': '45261768'}, {'screen_name': 'bainjal', 'name': 'Swati Chaturvedi', 'id': '89732309'}, {'screen_name': 'sakshijoshii', 'name': 'Sakshi Joshi', 'id': '105733665'}, {'screen_name': 'rohini_sgh', 'name': 'Rohini Singh', 'id': '267861878'}, {'screen_name': 'AudreyTruschke', 'name': 'Dr. Audrey Truschke', 'id': '200737738'}, {'screen_name': 'nadinemaenza', 'name': 'Nadine Maenza', 'id': '108166678'}]",,,,
1494803875609870339,1494803875609870339,2022-02-19 04:09:50 IST,2022-02-19,04:09:50,+0530,1461243657898520578,smartsiri2,smart Siri,,"isn't the word "" Uniform "" itself is secular or not?  @RanaAyyub @khanumarfa @priyankagandhi @ndtv @Republic_Bharat @BBCWorld @BBCHindi @ZeeNews @Javedakhtarjadu @Malala @ANI @BJP4India   then y deny in schools n collages? ppl want to convert a secular Nation into Muslim Nation ?",en,"[{'screen_name': 'ranaayyub', 'name': 'rana ayyub', 'id': '268676434'}, {'screen_name': 'khanumarfa', 'name': 'arfa khanum sherwani', 'id': '113571686'}, {'screen_name': 'priyankagandhi', 'name': 'priyanka gandhi vadra', 'id': '1094645942735855618'}, {'screen_name': 'ndtv', 'name': 'ndtv', 'id': '37034483'}, {'screen_name': 'republic_bharat', 'name': 'रिपब्लिक.भारत', 'id': '938002728898347008'}, {'screen_name': 'bbcworld', 'name': 'bbc news (world)', 'id': '742143'}, {'screen_name': 'bbchindi', 'name': 'bbc news hindi', 'id': '372754427'}, {'screen_name': 'zeenews', 'name': 'zee news', 'id': '461841349'}, {'screen_name': 'javedakhtarjadu', 'name': 'javed akhtar', 'id': '122995784'}, {'screen_name': 'malala', 'name': 'malala', 'id': '937499232'}, {'screen_name': 'ani', 'name': 'ani', 'id': '355989081'}, {'screen_name': 'bjp4india', 'name': 'bjp', 'id': '207809313'}]",[],[],0,0,0,[],[],https://twitter.com/smartSiri2/status/1494803875609870339,False,,0,,,,,,,,[],,,,
1494803080826605568,1494655784503885826,2022-02-19 04:06:41 IST,2022-02-19,04:06:41,+0530,895159440483266561,kanchiasokan,Kanchi Asokan,,@priyankagandhi @DrJayanThiyagu Anarchist...,en,[],[],[],0,2,1,[],[],https://twitter.com/kanchiAsokan/status/1494803080826605568,False,,0,,,,,,,,"[{'screen_name': 'priyankagandhi', 'name': 'Priyanka Gandhi Vadra', 'id': '1094645942735855618'}, {'screen_name': 'DrJayanThiyagu', 'name': 'Dr. JayanThiyagarajan PhD', 'id': '931586902330720256'}]",,,,
1494800410494009348,1494800410494009348,2022-02-19 03:56:04 IST,2022-02-19,03:56:04,+0530,1467162584000319489,khantariq94,Tariq Khan,,"Yes Congress couldn’t build toilets @smritiirani . Because they were busy building AIIMS,IIT,University,IIM,Hospital etc. @RahulGandhi @INCIndia @priyankagandhi @Pawankhera @SupriyaShrinate",en,"[{'screen_name': 'smritiirani', 'name': 'smriti z irani', 'id': '130104041'}, {'screen_name': 'rahulgandhi', 'name': 'rahul gandhi', 'id': '3171712086'}, {'screen_name': 'incindia', 'name': 'congress', 'id': '1153045459'}, {'screen_name': 'priyankagandhi', 'name': 'priyanka gandhi vadra', 'id': '1094645942735855618'}, {'screen_name': 'pawankhera', 'name': 'pawan khera', 'id': '76134964'}, {'screen_name': 'supriyashrinate', 'name': 'supriya shrinate', 'id': '342096051'}]",[],[],0,0,0,[],[],https://twitter.com/Khantariq94/status/1494800410494009348,False,https://twitter.com/ani_digital/status/1494677580930482182,0,,,,,,,,[],,,,
