id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1489970547140460548,1489451263352000513,2022-02-05 20:03:55 IST,2022-02-05,20:03:55,+0530,1365924585372196866,santosh01182633,Santosh Singh,,@BJP4UP @myogiadityanath Go for huge victory. 🚩🚩🚩🚩,en,[],[],[],0,0,0,[],[],https://twitter.com/Santosh01182633/status/1489970547140460548,False,,0,,,,,,,,"[{'screen_name': 'BJP4UP', 'name': 'BJP Uttar Pradesh', 'id': '2220938808'}, {'screen_name': 'myogiadityanath', 'name': 'Yogi Adityanath', 'id': '3437532637'}]",,,,
1489969107533385732,1489968608059228163,2022-02-05 19:58:12 IST,2022-02-05,19:58:12,+0530,1421721479956156423,navneet54116220,Navneet Kumar,,@Ershailendrabjp @myogiadityanath @BJP4UP @AnilRajbharbjp @Saurabhmlaup @kpmaurya1 @drdineshbjp @ratnakar273 @bhikhubhaidbjp @swatantrabjp It's process to boost energy of worker.,en,[],[],[],0,0,0,[],[],https://twitter.com/Navneet54116220/status/1489969107533385732,False,,0,,,,,,,,"[{'screen_name': 'Ershailendrabjp', 'name': 'Kumar Shailendra', 'id': '750977823481982976'}, {'screen_name': 'myogiadityanath', 'name': 'Yogi Adityanath', 'id': '3437532637'}, {'screen_name': 'BJP4UP', 'name': 'BJP Uttar Pradesh', 'id': '2220938808'}, {'screen_name': 'AnilRajbharbjp', 'name': 'Anil Rajbhar', 'id': '846985428024643586'}, {'screen_name': 'Saurabhmlaup', 'name': 'MLA Saurabh Srivastava', 'id': '871221762012442624'}, {'screen_name': 'kpmaurya1', 'name': 'Keshav Prasad Maurya', 'id': '1583043284'}, {'screen_name': 'drdineshbjp', 'name': 'Dr Dinesh Sharma BJP', 'id': '4208714065'}, {'screen_name': 'ratnakar273', 'name': 'Ratnakar', 'id': '622070906'}, {'screen_name': 'bhikhubhaidbjp', 'name': 'Bhikhubhai Dalsaniya', 'id': '2547602874'}, {'screen_name': 'swatantrabjp', 'name': 'Swatantra Dev Singh', 'id': '2231471756'}]",,,,
1489968926280728577,1489964735013343234,2022-02-05 19:57:28 IST,2022-02-05,19:57:28,+0530,1478011963628134402,jogendra_bjp,Jogendra Gurjar Bjp,,@Ashokkatariya9 @AmitShah @AmitShahOffice @BJP4India @BJP4UP We proud of you sir🙏,en,[],[],[],0,0,0,[],[],https://twitter.com/jogendra_bjp/status/1489968926280728577,False,,0,,,,,,,,"[{'screen_name': 'Ashokkatariya9', 'name': 'Ashok Katariya', 'id': '134101544'}, {'screen_name': 'AmitShah', 'name': 'Amit Shah', 'id': '1447949844'}, {'screen_name': 'AmitShahOffice', 'name': 'Office of Amit Shah', 'id': '4306715188'}, {'screen_name': 'BJP4India', 'name': 'BJP', 'id': '207809313'}, {'screen_name': 'BJP4UP', 'name': 'BJP Uttar Pradesh', 'id': '2220938808'}]",,,,
1489967464385368066,1489896748315451392,2022-02-05 19:51:40 IST,2022-02-05,19:51:40,+0530,1005672411839135744,narularamlal,Ramlal Narula,,@AmarUjalaNews @BJP4India @AmitShah @BJP4UP Not at all,en,[],[],[],0,0,0,[],[],https://twitter.com/NarulaRamlal/status/1489967464385368066,False,,0,,,,,,,,"[{'screen_name': 'AmarUjalaNews', 'name': 'Amar Ujala', 'id': '169018518'}, {'screen_name': 'BJP4India', 'name': 'BJP', 'id': '207809313'}, {'screen_name': 'AmitShah', 'name': 'Amit Shah', 'id': '1447949844'}, {'screen_name': 'BJP4UP', 'name': 'BJP Uttar Pradesh', 'id': '2220938808'}]",,,,
1489967410010476547,1489960772356960258,2022-02-05 19:51:27 IST,2022-02-05,19:51:27,+0530,1459185193948901380,chandyad10,I am Modi. Hukam Chand Yadav,,@BJP4UP @JPNadda Yes this is the reality. Jay Shree Krishna.,en,[],[],[],0,0,0,[],[],https://twitter.com/ChandYad10/status/1489967410010476547,False,,0,,,,,,,,"[{'screen_name': 'BJP4UP', 'name': 'BJP Uttar Pradesh', 'id': '2220938808'}, {'screen_name': 'JPNadda', 'name': 'Jagat Prakash Nadda', 'id': '2990611686'}]",,,,
1489965981762203648,1486211528701661186,2022-02-05 19:45:46 IST,2022-02-05,19:45:46,+0530,356950428,rahul_k_sriv,Rahul Srivatsa,,"@PenBetter @satyamgurjar2 @BJP4UP Punjabi actor caught in that case, 90 other ppl booked.agar firing kar dete, punjab mein terrorism start ho jati..Jin logo ne Red Fort incident plan Kiya woh yehi chahte the- govt acted wisely",en,[],[],[],0,0,0,[],[],https://twitter.com/Rahul_K_Sriv/status/1489965981762203648,False,,0,,,,,,,,"[{'screen_name': 'PenBetter', 'name': 'Nationcomes_first', 'id': '1221342233334411270'}, {'screen_name': 'satyamgurjar2', 'name': 'satyam gurjar', 'id': '746927256'}, {'screen_name': 'BJP4UP', 'name': 'BJP Uttar Pradesh', 'id': '2220938808'}]",,,,
1489962390317764608,1489962390317764608,2022-02-05 19:31:30 IST,2022-02-05,19:31:30,+0530,68483831,imridul2k,New India,,"90% of the women are voting for @myogiadityanath in #UPElections2022 despite a burn in their household budget.   #AkhileshYadav should have left some room to comeback, he burned all the path towards reaching #RajSinghasan by 2017.  @BJP4India @BJP4UP  #UPWithYogi",en,"[{'screen_name': 'myogiadityanath', 'name': 'yogi adityanath', 'id': '3437532637'}, {'screen_name': 'bjp4india', 'name': 'bjp', 'id': '207809313'}, {'screen_name': 'bjp4up', 'name': 'bjp uttar pradesh', 'id': '2220938808'}]",[],[],1,0,0,"['upelections2022', 'akhileshyadav', 'rajsinghasan', 'upwithyogi']",[],https://twitter.com/imridul2k/status/1489962390317764608,False,,0,,,,,,,,[],,,,
1489961642884755463,1489961642884755463,2022-02-05 19:28:32 IST,2022-02-05,19:28:32,+0530,1096468693566083072,asdubey6,asdubey,,Pappu started to follow Hinduim Thank you @myogiadityanath @BJP4UP,en,"[{'screen_name': 'myogiadityanath', 'name': 'yogi adityanath', 'id': '3437532637'}, {'screen_name': 'bjp4up', 'name': 'bjp uttar pradesh', 'id': '2220938808'}]",[],[],0,0,0,[],[],https://twitter.com/asdubey6/status/1489961642884755463,False,https://twitter.com/RahulGandhi/status/1489938274802372611,0,,,,,,,,[],,,,
1489960794183794690,1489864292698836993,2022-02-05 19:25:10 IST,2022-02-05,19:25:10,+0530,809254232,dilshadfitness,Dilshad Syed,,"@naqvimukhtar @BJP4UP @naqvimukhtar Sir, Whats your opinion on #hijab ? Will you stay neutral or speak something. Watch #Pushpa and bring some courage.",en,[],[],[],0,0,0,"['hijab', 'pushpa']",[],https://twitter.com/dilshadfitness/status/1489960794183794690,False,,0,,,,,,,,"[{'screen_name': 'naqvimukhtar', 'name': 'Mukhtar Abbas Naqvi', 'id': '287156977'}, {'screen_name': 'BJP4UP', 'name': 'BJP Uttar Pradesh', 'id': '2220938808'}]",,,,
1489959464253882377,1409364538684702724,2022-02-05 19:19:53 IST,2022-02-05,19:19:53,+0530,1102874190217007104,doc_hindukaashi,┅═❁काशी हिन्दू ❁═┅,,@KalpanaCaube @narendramodi @myogiadityanath @KapilMishra_IND @JPNadda @AmitShah @BJP4India @sambitswaraj @Tejasvi_Surya @BJP4UP डन जी thank you! 🙏🏻🥳,en,[],[],[],1,0,1,[],[],https://twitter.com/Doc_HinduKaashi/status/1489959464253882377,False,,0,,,,,,,,"[{'screen_name': 'KalpanaCaube', 'name': '🚩कल्पना चौबे RSS 🙏', 'id': '1484458196223737864'}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': '18839785'}, {'screen_name': 'myogiadityanath', 'name': 'Yogi Adityanath', 'id': '3437532637'}, {'screen_name': 'KapilMishra_IND', 'name': 'Kapil Mishra', 'id': '31656892'}, {'screen_name': 'JPNadda', 'name': 'Jagat Prakash Nadda', 'id': '2990611686'}, {'screen_name': 'AmitShah', 'name': 'Amit Shah', 'id': '1447949844'}, {'screen_name': 'BJP4India', 'name': 'BJP', 'id': '207809313'}, {'screen_name': 'sambitswaraj', 'name': 'Sambit Patra', 'id': '1368737382'}, {'screen_name': 'Tejasvi_Surya', 'name': 'Tejasvi Surya', 'id': '390677061'}, {'screen_name': 'BJP4UP', 'name': 'BJP Uttar Pradesh', 'id': '2220938808'}]",,,,
